timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT
1643604116,,,2164.0,11.0,12.0
1643604145,,,2200.0,,
1643604176,,,2580.0,14.0,14.0
1643604205,,,2476.0,,
1643604235,,,2508.0,13.0,14.0
1643604265,,,2540.0,,
1643604295,,,2476.0,13.0,14.0
1643604325,,,2548.0,,
1643604355,,,2532.0,13.0,14.0
1643604385,,,2560.0,,
1643604415,,,2292.0,12.0,13.0
1643604445,,,2080.0,,
1643604476,,,1876.0,10.0,11.0
1643604505,,,1480.0,,
1643604535,,,1452.0,8.0,9.0
1643604566,,,1492.0,,
1643604596,,,1336.0,8.0,8.0
1643604625,,,1324.0,,
1643604656,,,1344.0,8.0,8.0
1643604686,,,1300.0,,
1643604716,,,1188.0,7.0,8.0
1643604746,,,1136.0,,
1643604776,,,1140.0,6.0,8.0
1643604806,,,1144.0,,
1643604836,,,1084.0,6.0,7.0
1643604866,,,1112.0,,
1643604896,,,1044.0,6.0,7.0
1643604926,,,1040.0,,
1643604956,,,1164.0,7.0,8.0
1643604986,,,1124.0,,
1643605016,,,1140.0,6.0,8.0
1643605046,,,1156.0,,
1643605076,,,1168.0,7.0,7.0
1643605106,,,1412.0,,
1643605136,,,1172.0,6.0,8.0
1643605166,,,1540.0,,
1643605196,,,1416.0,7.0,9.0
1643605200,38006.1,17041.6,,,
1643605226,,,1340.0,,
1643605256,,,1332.0,8.0,8.0
1643605286,,,1396.0,,
1643605316,,,1368.0,8.0,8.0
1643605346,,,1324.0,,
1643605377,,,1268.0,7.0,8.0
1643605406,,,1324.0,,
1643605437,,,1324.0,7.0,8.0
1643605466,,,1360.0,,
1643605497,,,1400.0,8.0,8.0
1643605526,,,1564.0,,
1643605556,,,1604.0,9.0,9.0
1643605586,,,1608.0,,
1643605616,,,1576.0,9.0,9.0
1643605647,,,1408.0,,
1643605677,,,1384.0,8.0,8.0
1643605706,,,1412.0,,
1643605737,,,1444.0,8.0,8.0
