time,instanceElectricity,instanceCurrents,instanceCurrentsT,normalUsage,reverseUsage,daySin,weekSin
1643598240,464.0323273,4.835188978,2.68E-51,4442.635292,1.3,0.7193398,-0.534141581
1643598300,326.2895548,4.842179366,0,4442.644712,1.3,0.722363962,-0.534668439
1643598360,438.7578521,3.900093559,3.73E-50,4442.654335,1.3,0.725374371,-0.535195089
1643598420,558.7788183,5.733446398,0,4442.664143,1.3,0.72837097,-0.535721532
1643598480,257.1498134,3.375964024,6.27E-49,4442.674119,1.3,0.731353702,-0.536247766
1643598540,306.0298257,3.711350929,1.79E-48,4442.684244,1.3,0.734322509,-0.536773791
1643598600,517.9311345,4.569689409,2.21E-47,4442.694502,1.3,0.737277337,-0.537299608
1643598660,479.9098825,5.684489269,0,4442.704874,1.3,0.740218127,-0.537825217
1643598720,515.0991712,5.818523312,5.74E-46,4442.715342,1.3,0.743144825,-0.538350616
1643598780,551.0529932,6.347551742,0,4442.725889,1.3,0.746057375,-0.538875806
1643598840,535.3369647,5.213921539,8.09E-45,4442.736497,1.3,0.748955721,-0.539400787
1643598900,500.5081737,5.712814595,0,4442.747148,1.3,0.751839807,-0.539925558
1643598960,511.9163783,5.197431437,1.12E-43,4442.757824,1.3,0.75470958,-0.54045012
1643599020,498.7458893,6.267344365,0,4442.768508,1.3,0.757564984,-0.540974471
1643599080,450.9930366,5.410540898,1.57E-42,4442.779182,1.3,0.760405966,-0.541498613
1643599140,482.7075228,5.529147206,0,4442.789828,1.3,0.76323247,-0.542022544
1643599200,456.071761,5.097404708,2.16E-41,4442.800428,1.3,0.766044443,-0.542546264
1643599260,405.9936422,4.77341061,0,4442.810964,1.3,0.768841832,-0.543069773
1643599320,438.7633336,5.277692927,2.93E-40,4442.821419,1.3,0.771624583,-0.543593072
1643599380,446.1464425,4.70889079,0,4442.831775,1.3,0.774392644,-0.544116159
1643599440,416.0285976,5.294743912,4.07E-39,4442.842014,1.3,0.777145961,-0.544639035
