timestamp,generatedElectricity,instanceElectricity_x,normalUsage,reverseUsage,instanceElectricity_y,instanceCurrents,instanceCurrentsT
1643598072,2300.732,4401.0,,,,,
1643598088,,,,,-4076.0,,
1643598119,,,,,-3952.0,-21.0,-19.0
1643598132,,4408.0,,,,,
1643598148,,,,,-4056.0,,
1643598179,,,,,-4100.0,-21.0,-20.0
1643598192,,4416.0,,,,,
1643598208,,,,,-3988.0,,
1643598239,,,,,-4104.0,-21.0,-20.0
1643598253,,4428.0,,,,,
1643598269,,,,,-4116.0,,
1643598299,,,,,-3980.0,-21.0,-19.0
1643598313,,4417.0,,,,,
1643598328,,,,,-4076.0,,
1643598359,,,,,-4100.0,-21.0,-20.0
1643598373,2300.732,4418.0,,,,,
1643598389,,,,,-4016.0,,
1643598419,,,,,-4060.0,-21.0,-20.0
1643598433,,4410.0,,,,,
1643598449,,,,,-4028.0,,
1643598479,,,,,-4060.0,-21.0,-20.0
1643598493,,4402.0,,,,,
1643598509,,,,,-3840.0,,
1643598539,,,,,-3952.0,-21.0,-19.0
1643598553,,4386.0,,,,,
1643598569,,,,,-2836.0,,
1643598599,,,,,-2692.0,-23.0,-13.0
1643598613,,4313.0,,,,,
1643598629,,,,,-2544.0,,
1643598659,,,,,-2720.0,-23.0,-13.0
1643598673,2300.732,4248.0,,,,,
1643598689,,,,,-1088.0,,
1643598719,,,,,-1284.0,-14.0,-14.0
1643598733,,4336.0,,,,,
1643598749,,,,,-2844.0,,
1643598779,,,,,-4072.0,-24.0,-22.0
1643598793,,4379.0,,,,,
1643598809,,,,,-4024.0,,
1643598839,,,,,-3192.0,-24.0,-15.0
1643598853,,4381.0,,,,,
1643598869,,,,,-3080.0,,
1643598899,,,,,-2944.0,-24.0,-14.0
1643598913,,4388.0,,,,,
1643598929,,,,,-3196.0,,
1643598959,,,,,-3028.0,-23.0,-15.0
1643598973,2300.732,4397.0,,,,,
1643598989,,,,,-3152.0,,
1643599019,,,,,-2848.0,-21.0,-15.0
1643599033,,4394.0,,,,,
1643599049,,,,,-3016.0,,
1643599080,,,,,-3128.0,-21.0,-13.0
1643599093,,4400.0,,,,,
1643599109,,,,,-3104.0,,
1643599139,,,,,-3012.0,-21.0,-13.0
1643599153,,4381.0,,,,,
1643599170,,,,,-3096.0,,
1643599200,,,,,-2980.0,-21.0,-12.0
1643599213,,4379.0,,,,,
1643599229,,,,,-3000.0,,
1643599260,,,,,-2972.0,-21.0,-12.0
1643599274,2300.732,4321.0,,,,,
1643599290,,,,,-2868.0,,
1643599320,,,,,-2976.0,-21.0,-13.0
1643599334,,4324.0,,,,,
1643599350,,,,,-2984.0,,
1643599380,,,,,-2900.0,-20.0,-11.0
1643599394,,4308.0,,,,,
1643599410,,,,,-2764.0,,
1643599440,,,,,-2988.0,-20.0,-11.0
1643599454,,4298.0,,,,,
1643599470,,,,,-2888.0,,
1643599500,,,,,-2988.0,-20.0,-11.0
1643599514,,4304.0,,,,,
1643599530,,,,,-2996.0,,
1643599560,,,,,-3724.0,-20.0,-18.0
1643599574,2300.732,4323.0,,,,,
1643599590,,,,,-3940.0,,
1643599620,,,,,-3936.0,-21.0,-19.0
1643599634,,4335.0,,,,,
1643599650,,,,,-3896.0,,
1643599680,,,,,-3980.0,-21.0,-20.0
1643599694,,4362.0,,,,,
1643599710,,,,,-3880.0,,
1643599740,,,,,-4032.0,-21.0,-20.0
1643599754,,4371.0,,,,,
1643599770,,,,,-3992.0,,
1643599800,,,24545.4,1803.6,-3936.0,-20.0,-20.0
1643599814,,4371.0,,,,,
1643599830,,,,,-4044.0,,
1643599860,,,,,-4016.0,-21.0,-20.0
1643599874,2302.904,4360.0,,,,,
1643599890,,,,,-3880.0,,
1643599920,,,,,-3756.0,-21.0,-18.0
1643599934,,4337.0,,,,,
1643599951,,,,,-3964.0,,
1643599980,,,,,-3920.0,-20.0,-20.0
1643599994,,4341.0,,,,,
1643600010,,,,,-4016.0,,
1643600040,,,,,-4008.0,-21.0,-20.0
1643600054,,4341.0,,,,,
1643600070,,,,,-3648.0,,
1643600100,,,,,-3972.0,-20.0,-20.0
1643600114,,4306.0,,,,,
1643600130,,,,,-3904.0,,
1643600160,,,,,-3928.0,-20.0,-20.0
1643600174,2302.904,4287.0,,,,,
1643600191,,,,,-3944.0,,
1643600220,,,,,-3856.0,-20.0,-19.0
1643600234,,4283.0,,,,,
1643600251,,,,,-3960.0,,
1643600281,,,,,-4008.0,-20.0,-20.0
1643600294,,4291.0,,,,,
1643600311,,,,,-3964.0,,
1643600341,,,,,-4072.0,-21.0,-21.0
1643600355,,4352.0,,,,,
1643600371,,,,,-4120.0,,
