timestamp,temperatureSetting,operationMode,operationStatus,airFlow
1646225928,20.0,65.0,49.0,65.0
1646226228,20.0,65.0,49.0,65.0
1646226528,20.0,65.0,49.0,65.0
1646226829,20.0,65.0,49.0,65.0
1646227129,20.0,65.0,49.0,65.0
1646227429,20.0,65.0,49.0,65.0
1646227730,20.0,65.0,49.0,65.0
1646228030,20.0,65.0,49.0,65.0
1646228330,20.0,65.0,49.0,65.0
1646228631,20.0,65.0,49.0,65.0
1646228931,20.0,65.0,49.0,65.0
1646229231,20.0,65.0,49.0,65.0
1646229531,20.0,65.0,49.0,65.0
1646229832,20.0,65.0,49.0,65.0
1646230132,20.0,65.0,49.0,65.0
1646230432,20.0,65.0,49.0,65.0
1646230733,20.0,65.0,49.0,65.0
1646231032,20.0,65.0,49.0,65.0
1646231332,20.0,65.0,49.0,65.0
1646231633,20.0,65.0,49.0,65.0
1646231933,20.0,65.0,49.0,65.0
1646232233,20.0,65.0,49.0,65.0
1646232534,20.0,65.0,49.0,65.0
1646232834,20.0,65.0,49.0,65.0
1646233134,20.0,65.0,49.0,65.0
1646233435,20.0,65.0,49.0,65.0
1646233735,20.0,65.0,49.0,65.0
1646234035,20.0,65.0,49.0,65.0
1646234335,20.0,65.0,49.0,65.0
1646234636,20.0,65.0,49.0,65.0
1646234936,20.0,65.0,49.0,65.0
1646235236,20.0,65.0,49.0,65.0
1646235537,20.0,65.0,49.0,65.0
1646235837,20.0,65.0,49.0,65.0
1646236137,20.0,65.0,49.0,65.0
1646236438,20.0,65.0,49.0,65.0
1646236738,20.0,65.0,49.0,65.0
1646237098,20.0,65.0,49.0,65.0
1646237338,20.0,65.0,49.0,65.0
1646237639,20.0,65.0,49.0,65.0
1646237939,20.0,65.0,49.0,65.0
1646238239,20.0,65.0,49.0,65.0
1646238540,20.0,65.0,49.0,65.0
1646238840,20.0,65.0,49.0,65.0
1646239140,20.0,65.0,49.0,65.0
1646239440,20.0,65.0,49.0,65.0
1646239741,20.0,65.0,49.0,65.0
1646240041,20.0,65.0,49.0,65.0
1646240341,20.0,65.0,49.0,65.0
1646240642,20.0,65.0,49.0,65.0
1646240942,20.0,65.0,49.0,65.0
1646241242,20.0,65.0,49.0,65.0
1646241543,20.0,65.0,49.0,65.0
1646241842,20.0,65.0,49.0,65.0
1646242142,20.0,65.0,49.0,65.0
1646242442,20.0,65.0,49.0,65.0
1646242743,20.0,65.0,49.0,65.0
1646243043,20.0,65.0,49.0,65.0
1646243343,20.0,65.0,49.0,65.0
1646243644,20.0,65.0,49.0,65.0
1646243944,20.0,65.0,49.0,65.0
1646244244,20.0,65.0,49.0,65.0
1646244545,20.0,65.0,49.0,65.0
1646244845,20.0,65.0,49.0,65.0
1646245145,20.0,65.0,49.0,65.0
1646245445,20.0,65.0,49.0,65.0
1646245746,20.0,65.0,49.0,65.0
1646246046,20.0,65.0,49.0,65.0
1646246346,20.0,65.0,49.0,65.0
1646246647,20.0,65.0,49.0,65.0
1646246947,20.0,65.0,49.0,65.0
1646247247,20.0,65.0,49.0,65.0
1646247548,20.0,65.0,49.0,65.0
1646247848,20.0,65.0,49.0,65.0
1646248148,20.0,65.0,49.0,65.0
1646248449,20.0,65.0,49.0,65.0
1646248749,20.0,65.0,49.0,65.0
1646249049,20.0,65.0,49.0,65.0
1646249350,20.0,65.0,49.0,65.0
1646249650,20.0,65.0,49.0,65.0
1646249950,20.0,65.0,49.0,65.0
1646250250,20.0,65.0,49.0,65.0
1646250551,20.0,65.0,49.0,65.0
1646250851,20.0,65.0,49.0,65.0
1646251151,20.0,65.0,49.0,65.0
1646251452,20.0,65.0,49.0,65.0
1646251752,20.0,65.0,49.0,65.0
1646252052,20.0,65.0,49.0,65.0
1646252352,20.0,65.0,49.0,65.0
1646252652,20.0,65.0,49.0,65.0
1646252952,20.0,65.0,49.0,65.0
1646253252,20.0,65.0,49.0,65.0
1646253553,20.0,65.0,49.0,65.0
1646253853,20.0,65.0,49.0,65.0
1646254153,20.0,65.0,49.0,65.0
1646254454,20.0,65.0,49.0,65.0
1646254754,20.0,65.0,49.0,65.0
1646255054,20.0,65.0,49.0,65.0
1646255355,20.0,65.0,49.0,65.0
1646255655,20.0,65.0,49.0,65.0
1646255955,20.0,65.0,49.0,65.0
1646256255,20.0,65.0,49.0,65.0
1646256556,20.0,65.0,49.0,65.0
1646256856,20.0,65.0,49.0,65.0
1646257156,20.0,65.0,49.0,65.0
1646257457,20.0,65.0,49.0,65.0
1646257757,20.0,65.0,49.0,65.0
1646258057,20.0,65.0,49.0,65.0
1646258166,20.0,65.0,49.0,65.0
1646258170,20.0,65.0,49.0,65.0
1646258358,20.0,65.0,49.0,65.0
1646258457,20.0,65.0,49.0,65.0
1646258658,20.0,65.0,49.0,65.0
1646258958,20.0,65.0,49.0,65.0
1646259148,20.0,65.0,49.0,65.0
1646259258,20.0,65.0,49.0,65.0
1646259559,20.0,65.0,49.0,65.0
1646259859,20.0,65.0,49.0,65.0
1646260086,20.0,67.0,48.0,65.0
1646260159,20.0,67.0,48.0,65.0
1646260460,20.0,67.0,48.0,65.0
1646260760,20.0,67.0,48.0,65.0
1646260886,20.0,67.0,48.0,65.0
1646261060,20.0,67.0,48.0,65.0
1646261361,20.0,67.0,48.0,65.0
1646261661,20.0,67.0,48.0,65.0
1646261961,20.0,67.0,48.0,65.0
1646262261,20.0,67.0,48.0,65.0
1646262562,20.0,67.0,48.0,65.0
1646262862,20.0,67.0,48.0,65.0
1646263162,20.0,67.0,48.0,65.0
1646263462,20.0,67.0,48.0,65.0
1646263762,20.0,67.0,48.0,65.0
1646264062,20.0,67.0,48.0,65.0
1646264362,20.0,67.0,48.0,65.0
1646264663,20.0,67.0,48.0,65.0
1646264963,20.0,67.0,48.0,65.0
1646265263,20.0,67.0,48.0,65.0
1646265564,20.0,67.0,48.0,65.0
1646265864,20.0,67.0,48.0,65.0
1646266164,20.0,67.0,48.0,65.0
1646266465,20.0,67.0,48.0,65.0
1646266765,20.0,67.0,48.0,65.0
1646267065,20.0,67.0,48.0,65.0
1646267365,20.0,67.0,48.0,65.0
1646267666,20.0,67.0,48.0,65.0
1646267966,20.0,67.0,48.0,65.0
1646268266,20.0,67.0,48.0,65.0
1646268567,20.0,67.0,48.0,65.0
1646268867,20.0,67.0,48.0,65.0
1646269167,20.0,67.0,48.0,65.0
1646269468,20.0,67.0,48.0,65.0
1646269768,20.0,67.0,48.0,65.0
1646270068,20.0,67.0,48.0,65.0
1646270368,20.0,67.0,48.0,65.0
1646270429,20.0,67.0,48.0,65.0
1646270731,20.0,67.0,48.0,65.0
1646271032,20.0,67.0,48.0,65.0
1646271332,20.0,67.0,48.0,65.0
1646271632,20.0,67.0,48.0,65.0
1646271933,20.0,67.0,48.0,65.0
1646272233,20.0,67.0,48.0,65.0
1646272533,20.0,67.0,48.0,65.0
1646272833,20.0,67.0,48.0,65.0
1646273134,20.0,67.0,48.0,65.0
1646273434,20.0,67.0,48.0,65.0
1646273734,20.0,67.0,48.0,65.0
1646274034,20.0,67.0,48.0,65.0
1646274334,20.0,67.0,48.0,65.0
1646274594,20.0,67.0,48.0,65.0
1646274596,20.0,67.0,48.0,65.0
1646274634,20.0,67.0,48.0,65.0
1646274935,20.0,67.0,48.0,65.0
1646275078,20.0,67.0,48.0,65.0
1646275104,20.0,67.0,48.0,65.0
1646275235,20.0,67.0,48.0,65.0
1646275535,20.0,67.0,48.0,65.0
1646275836,20.0,67.0,48.0,65.0
1646276136,20.0,67.0,48.0,65.0
1646276436,20.0,67.0,48.0,65.0
1646276736,20.0,67.0,48.0,65.0
1646277037,20.0,67.0,48.0,65.0
1646277337,20.0,67.0,48.0,65.0
1646277637,20.0,67.0,48.0,65.0
1646277938,20.0,67.0,48.0,65.0
1646278238,20.0,67.0,48.0,65.0
1646278538,20.0,67.0,48.0,65.0
1646278839,20.0,67.0,48.0,65.0
1646279139,20.0,67.0,48.0,65.0
1646279439,20.0,67.0,48.0,65.0
1646279740,20.0,67.0,48.0,65.0
1646280040,20.0,67.0,48.0,65.0
1646280340,20.0,67.0,49.0,65.0
1646280640,20.0,67.0,49.0,65.0
1646280941,20.0,67.0,49.0,65.0
1646281240,20.0,67.0,49.0,65.0
1646281540,20.0,67.0,49.0,65.0
1646281841,20.0,67.0,49.0,65.0
1646282141,20.0,67.0,49.0,65.0
1646282441,20.0,67.0,49.0,65.0
1646282741,20.0,67.0,49.0,65.0
1646283042,20.0,67.0,49.0,65.0
1646283342,20.0,67.0,49.0,65.0
1646283642,20.0,67.0,49.0,65.0
1646283943,20.0,67.0,49.0,65.0
1646284243,20.0,67.0,49.0,65.0
1646284543,20.0,67.0,49.0,65.0
1646284844,20.0,67.0,49.0,65.0
1646285144,20.0,67.0,49.0,65.0
1646285444,20.0,67.0,49.0,65.0
1646285744,20.0,67.0,49.0,65.0
1646286045,20.0,67.0,49.0,65.0
1646286345,20.0,67.0,49.0,65.0
1646286645,20.0,67.0,49.0,65.0
1646286946,20.0,67.0,49.0,65.0
1646287246,20.0,67.0,49.0,65.0
1646287546,20.0,67.0,49.0,65.0
1646287847,20.0,67.0,49.0,65.0
1646288147,20.0,67.0,49.0,65.0
1646288447,20.0,67.0,49.0,65.0
1646288748,20.0,67.0,49.0,65.0
1646289048,20.0,67.0,49.0,65.0
1646289348,20.0,67.0,49.0,65.0
1646289648,20.0,67.0,49.0,65.0
1646289949,20.0,67.0,49.0,65.0
1646290249,20.0,67.0,49.0,65.0
1646290549,20.0,67.0,49.0,65.0
1646290850,20.0,67.0,49.0,65.0
1646291150,20.0,67.0,49.0,65.0
1646291450,20.0,67.0,49.0,65.0
1646291751,20.0,67.0,49.0,65.0
1646292050,20.0,67.0,49.0,65.0
1646292350,20.0,67.0,49.0,65.0
1646292651,20.0,67.0,49.0,65.0
1646292951,20.0,67.0,49.0,65.0
1646293251,20.0,67.0,49.0,65.0
1646293551,20.0,67.0,49.0,65.0
1646293852,20.0,67.0,49.0,65.0
1646294152,20.0,67.0,49.0,65.0
1646294452,20.0,67.0,49.0,65.0
1646294753,20.0,67.0,49.0,65.0
1646295053,20.0,67.0,49.0,65.0
1646295353,20.0,67.0,49.0,65.0
1646295653,20.0,67.0,49.0,65.0
1646295954,20.0,67.0,49.0,65.0
1646296254,20.0,67.0,49.0,65.0
1646296554,20.0,67.0,49.0,65.0
