time,instanceElectricity,instanceCurrents,instanceCurrentsT,normalUsage,reverseUsage,instanceElectricityIN,generatedElectricity,acChargingEnergy,acDischargeableElectricEnergy,acDischargingEnergy,sin(1day),sin(7days)
1102200,4087.19208827498,22.2459365325336,19.4969133924616,38965.0130417892,17041.6,4.79665565153332e-06,22893.646,5974.09800003374,-2.68452284214507e-05,4646.544,-0.999048221581858,-0.898246846582845
1102500,5401.62824478531,30.4346583482792,27.1973025709267,38965.3757190517,17041.6,-9.88371667675803e-06,22893.646,5974.09799987478,9.96388819622012e-05,4646.544,-0.997858923238604,-0.896872741532688
1102800,4306.67739670875,25.8816272122621,22.5910510759563,38965.7326809695,17041.6,1.36913653863743e-05,22893.646,5974.09800046716,-0.000371725168128925,4646.544,-0.996194698091746,-0.895489924657302
1103100,3584.12507318105,20.6730843427843,17.6086409220733,38966.0765628497,17041.6,-1.43724275462186e-05,22893.646,5974.09799825658,0.0013872617905535,4646.544,-0.994056338222321,-0.894098409388755
1103400,4092.6220718761,22.8778820683494,20.6700291141085,38966.4,17041.6,1.03849392953131e-05,22893.646,5974.09800650653,-0.00517732199408507,4646.544,-0.99144486137381,-0.892698209243612
1103700,3811.49896278109,21.9449762408658,19.2984423033473,38966.6993367055,17041.6,-1.15120146545568e-06,22893.646,5974.0979757173,0.0193220261857868,4646.544,-0.988361510467761,-0.891289337822799
1104000,3783.84178520153,21.7055583352683,18.584310486098,38966.9857531628,17041.6,-1.23399362677742e-05,22893.646,5974.09809062426,-0.072110782749062,4646.544,-0.98480775301221,-0.889871808811469
1104300,3946.57599756616,22.3138254679543,19.4849085343925,38967.2741385464,17041.6,2.7218878626612e-05,22893.646,5974.09766074632,0.269948115217016,4646.544,-0.980785280403233,-0.888445635978873
1104600,3389.13739125403,19.1503256088494,16.6693081601533,38967.5793820308,17041.6,-3.89379179604138e-05,22893.646,5974.09925911076,-1.0018891202658,4646.544,-0.976296007119934,-0.887010833178222
1104900,4379.50091355876,23.6929757078332,21.6656412877357,38967.9163727905,17041.6,4.21369526835744e-05,22893.646,5974.09330261816,3.73776153805629,4646.544,-0.971342069813263,-0.885567414346557
1105200,6095.08238942225,32.4973563590911,30.0646057446937,38968.3,17041.6,-3.21511637615905e-05,22893.646,5974.12848271559,-13.9491570319594,4646.544,-0.965925826289071,-0.88411539350461
1105500,6019.6561817506,32.4348192878975,29.7133107459292,38968.7404541186,17041.6,6.90943846245013e-06,22893.646,5974.2828806254,77.5687865941771,4646.544,-0.960049854385929,-0.882654784756669
1105800,6050.42384439141,32.6018600307238,30.3901617799239,38969.2291307449,17041.5999999999,3.12673717115519e-05,22893.646,5974.48892667278,266.511369666733,4646.544,-0.953716950748228,-0.881185602290443
1106100,6141.63337623587,33.2896338685036,30.8592905505816,38969.7527267627,17041.5999999999,-7.46300025971586e-05,22893.646,5974.68529319314,435.202134546194,4646.544,-0.946930129495108,-0.879707860376919
1106400,6092.30694979366,32.7942577753555,30.3384318695607,38970.2979390554,17041.5999999999,0.000110401864810702,22893.646,5974.88470051676,609.214006518862,4646.544,-0.939692620785908,-0.878221573370229
1106700,6170.74595758765,33.1211079756822,31.1151051099894,38970.8514645066,17041.5999999999,-0.000123080482946963,22893.646,5975.08123634085,779.4140222916,4646.544,-0.932007869282799,-0.876726755707508
1107000,5979.4766138573,32.536178622662,30.1701755839819,38971.4,17041.6,9.86406708548231e-05,22893.646,5975.27900740621,958.090324062551,4646.544,-0.923879532511289,-0.875223421908754
1107300,6121.7230154594,32.9638616196583,30.6686473966486,38971.9323653388,17041.6000000001,-2.99859857935779e-05,22893.646,5975.47773821119,1103.19939839471,4646.544,-0.915311479119446,-0.873711586576686
1107600,6084.28811535545,32.6395090855186,30.4790730915789,38972.4458720057,17041.6000000002,-7.7708446892769e-05,22893.646,5975.67565144507,1251.71320028454,4646.544,-0.90630778703665,-0.872191264396605
1107900,6213.22059963619,33.6065749351531,31.1678664571548,38972.9399544029,17041.6000000003,0.000203648607692121,22893.646,5975.87328161546,1427.70524123894,4646.544,-0.89687274153269,-0.870662470136248
1108200,5706.82970868711,30.8292702018989,28.7272008753742,38973.4140469328,17041.6000000004,-0.000312057879335438,22893.646,5976.07089811863,1603.80551247986,4646.544,-0.887010833178225,-0.869125218645647
1108500,4550.18302358656,24.7654169824195,22.7888240522213,38973.8675839977,17041.6000000003,0.000358243389239797,22893.646,5976.26895876883,1750.96259866803,4646.544,-0.876726755707507,-0.867579524856981
1108800,4525.69226298651,23.8173731553105,23.2906685994612,38974.3,17041.6,-0.000300271889040696,22893.646,5976.46702680605,1897.09417284804,4646.544,-0.86602540378444,-0.866025403784439
1109100,4642.16388924608,24.2294240837297,24.1443913824754,38974.7115660076,17041.5999999996,0.000114575908730944,22893.646,5976.66460135803,2080.01851491416,4646.544,-0.85491187067295,-0.864462870524064
1109400,4627.2737666131,25.4403351457306,23.1473371233932,38975.1058997509,17041.5999999991,0.000188246098734028,22893.646,5976.86229313023,2225.11559598403,4646.544,-0.843391445812883,-0.862891940253613
1109700,4670.64686773911,24.9255494102401,23.343457517515,38975.4874556258,17041.5999999987,-0.000552800318891505,22893.646,5977.06010047865,2371.52676824957,4646.544,-0.831469612302545,-0.861312628232409
1110000,4433.81477109085,22.8082982310433,22.4768998308796,38975.8606880283,17041.5999999987,0.000879262252785681,22893.646,5977.25938079777,2554.85755786954,4646.544,-0.819152044288994,-0.859724949801191
1110300,4598.7325902627,23.6542927857038,22.8908497366669,38976.2300513544,17041.599999999,-0.00103920167755894,22893.646,5977.45823585522,2699.32144652631,4646.544,-0.806444604267479,-0.858128920381963
1110600,4551.45956370961,23.2384926903763,22.7987573235403,38976.6,17041.6,0.000907873084099755,22893.646,5977.65523209471,2845.42485323584,4646.544,-0.793353340291234,-0.856524555477851
1110900,4517.0589945259,23.1638886841649,22.8270741255072,38976.9727595197,17041.6000000016,-0.00040873054010541,22893.646,5977.8548874866,3028.94588409002,4646.544,-0.779884483092883,-0.854911870672946
1111200,4843.20293219995,24.8010601671252,24.7914144384897,38977.341640102,17041.6000000034,-0.000440043361017005,22893.646,5978.0499826851,3175.67977277445,4646.544,-0.766044443118982,-0.853290881632156
1111500,3379.21483445276,18.4566753676012,18.5906677247026,38977.6977230941,17041.6000000047,0.00149215549891376,22893.646,5978.25778128463,3308.67640455986,4646.544,-0.751839807478974,-0.851661604101049
1111800,2122.44718178454,12.4546975104436,11.7912310399255,38978.032089843,17041.600000005,-0.00246995700494562,22893.646,5978.39831016215,3399.38187073912,4646.544,-0.737277336810124,-0.85002405390571
1112100,2476.59151600071,13.7893068366617,13.1219044871698,38978.335821696,17041.6000000036,0.00300511886327716,22893.646,5978.42100623522,3411.48922879696,4646.544,-0.722363962059758,-0.848378246952574
1112400,2261.63861632169,12.9590254288205,12.6404696001027,38978.6,17041.6,-0.00272774234441879,22893.646,5978.41719416897,3409.60230707306,4646.544,-0.707106781186543,-0.846724199228284
1112700,2300.47098356185,13.2208898406615,12.8306236100459,38978.8200810988,17041.599999994,0.0013936181678447,22893.646,5978.4182172531,3410.10160770176,4646.544,-0.691513055782268,-0.845061926799528
1113000,2377.45747681438,13.2643578821837,12.9466296671522,38979.0090213226,17041.5999999874,0.000978379890285987,22893.646,5978.4179419885,3409.99368619372,4646.544,-0.675590207615661,-0.843391445812886
1113300,2409.94827441995,13.1021121823153,12.7765424378352,38979.1841519979,17041.5999999825,-0.00400259816481209,22893.646,5978.41801534216,3409.92391563762,4646.544,-0.659345815100073,-0.84171277249467
1113600,2463.00921230868,13.9956802456903,13.589653995357,38979.3628044514,17041.5999999814,0.0069076159668942,22893.646,5978.41799664287,3410.31065125579,4646.544,-0.642787609686536,-0.840025923150771
1113900,2656.16376370085,14.4108766063011,13.553423848661,38979.5623100099,17041.5999999865,-0.00864433759985965,22893.646,5978.41799807896,3408.83032439489,4646.544,-0.625923472184059,-0.838330914166498
1114200,4070.33383343678,20.5885867907425,19.7773073155737,38979.8,17041.6,0.00813474720284145,22893.646,5978.41801096773,3414.32953382688,4646.544,-0.608761429008723,-0.83662776200642
1114500,4341.76434348819,22.4681070919997,21.685336801796,38980.0881197887,17041.6000000223,-0.00462870346370344,22893.646,5978.41795779791,3388.15792182192,4646.544,-0.591309648363588,-0.834916483214202
1114800,4284.7127169763,22.4586440068127,21.2983971488789,38980.418570904,17041.6000000469,-0.00191476895257005,22893.646,5978.41815826057,3362.74286613221,4646.544,-0.573576436351044,-0.833197094412449
1115100,4550.14787458262,23.8768481306942,23.4870382464485,38980.7781689144,17041.6000000654,0.010540722063651,22893.646,5978.41741279583,3367.93301849754,4646.544,-0.555570233019603,-0.831469612302546
1115400,4309.77241186447,22.1860573715058,21.6362549709649,38981.1537293883,17041.6000000693,-0.0192219905793758,22893.646,5978.42019066483,3367.5140102988,4646.544,-0.537299608346828,-0.829734053664488
1115700,5190.18157158934,27.3343936874528,26.5695192998305,38981.532067894,17041.6000000503,0.0250574279557597,22893.6460000001,5978.40982454486,3364.01094030725,4646.544,-0.518773258160529,-0.827990435356726
1116000,4053.44910466544,21.9929363790765,21.8375785219556,38981.9,17041.6,-0.0247746503237922,22893.6459999998,5978.45944982793,3383.90146267731,4646.544,-0.500000000000011,-0.826238774315996
1116300,2282.08231233596,11.6741971512627,11.4294448994355,38982.2478101169,17041.5999999167,0.0155885922912899,22893.6460000008,5978.52110479896,3436.97141873752,4646.544,-0.48098876891939,-0.824479087557158
1116600,2793.32059516837,14.6004323283262,14.2849649070907,38982.5796580244,17041.5999998249,0.00349127955752021,22893.6459999971,5978.52040251069,3451.84589566031,4646.544,-0.46174861323504,-0.822711392173034
1116900,3743.18301060103,18.8335105725352,18.0862184856287,38982.9031723445,17041.5999997561,-0.0301016809409987,22893.6460000107,5978.52116015827,3473.64499862123,4646.544,-0.442288690219011,-0.820935705334233
1117200,5431.96390481856,27.2370050702269,26.8171351433163,38983.2259816991,17041.5999997415,0.0574774267654343,22893.6459999599,5978.52095682582,3500.57733185895,4646.544,-0.422618261740713,-0.819152044288993
1117500,5201.80608038517,27.9924696115746,27.7302174291437,38983.5557147103,17041.5999998123,-0.0738398782021483,22893.6460001487,5978.52101153781,3494.7767595669,4646.544,-0.402746689858742,-0.817360426363007
1117800,3619.93609787422,19.3068632939271,18.7063904493974,38983.9,17041.6,0.0658300170837344,22893.6459994453,5978.52099690837,3496.32777525945,4646.544,-0.382683432365098,-0.815560868959261
1118100,3808.35997678419,19.7677331748166,19.0771448505411,38984.2627693734,17041.6000003111,-0.0275620773513939,22893.6460020757,5978.52100082872,3495.91213939529,4646.544,-0.362438038283714,-0.81375338955786
1118400,3894.35653083729,21.0246201426902,19.8694175965314,38984.6331673688,17041.6000006534,-0.0251661890875678,22893.6459923004,5978.52099977661,3496.02368343821,4646.544,-0.342020143325671,-0.811938005715857
1118700,3836.19670628748,20.0225150262441,19.5274882213681,38984.9966417076,17041.6000009103,0.0567711636063738,22893.646028724,5978.5210000597,3495.99367098087,4646.544,-0.321439465303168,-0.810114735067091
1119000,4162.90880216889,21.6833959743488,21.3949203564164,38985.3386401115,17041.6000009648,-0.0917143176261897,22893.6458928036,5978.520999984,3496.00169649702,4646.544,-0.300705799504283,-0.808283595322006
1119300,2489.74710143732,14.3969005674894,14.0139931902688,38985.6446103018,17041.6000007003,0.0904376673054851,22893.6465223918,5978.52100000431,3495.99954272415,4646.544,-0.279829014030993,-0.806444604267482
