timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT,evRemainingChargableCapacity,evRemainingDischargableCapacity,vehicleStatus
1643595986,,,-2096.0,-9.0,-11.0,,,
1643596015,,,-2100.0,,,,,
1643596046,,,-2104.0,-9.0,-11.0,,,
1643596076,,,-2116.0,,,,,
1643596106,,,-2056.0,-9.0,-11.0,,,
1643596135,,,-1868.0,,,,,
1643596166,,,-1864.0,-8.0,-10.0,,,
1643596196,,,-1792.0,,,,,
1643596200,6088.8,1097.3,,,,,,
1643596226,,,-1732.0,-7.0,-10.0,,,
1643596255,,,-1724.0,,,,,
1643596286,,,-1712.0,-7.0,-10.0,,,
1643596315,,,-1584.0,,,0.0,10200.0,66.0
1643596346,,,-1448.0,-7.0,-7.0,,,
1643596376,,,-2212.0,,,,,
1643596407,,,-2240.0,-10.0,-12.0,,,
1643596436,,,-2244.0,,,,,
1643596467,,,-2240.0,-10.0,-12.0,,,
1643596496,,,-2240.0,,,,,
1643596527,,,-2244.0,-10.0,-12.0,,,
1643596556,,,-2240.0,,,,,
1643596587,,,-2236.0,-10.0,-12.0,,,
1643596616,,,-2240.0,,,,,
1643596647,,,-2240.0,-10.0,-12.0,,,
1643596676,,,-2240.0,,,,,
1643596707,,,-2228.0,-10.0,-12.0,,,
1643596736,,,-2228.0,,,,,
1643596767,,,-2008.0,-9.0,-10.0,,,
1643596796,,,-1956.0,,,,,
1643596827,,,-1908.0,-9.0,-10.0,,,
1643596856,,,-1848.0,,,,,
1643596887,,,-1812.0,-8.0,-10.0,,,
1643596916,,,-1808.0,,,0.0,10200.0,66.0
1643596947,,,-1792.0,-8.0,-9.0,,,
1643596977,,,-1888.0,,,,,
1643597007,,,-2196.0,-10.0,-11.0,,,
1643597036,,,-2208.0,,,,,
1643597067,,,-2208.0,-10.0,-11.0,,,
1643597096,,,-2208.0,,,,,
1643597127,,,-2220.0,-10.0,-11.0,,,
1643597156,,,-2216.0,,,,,
1643597188,,,-2184.0,-10.0,-11.0,,,
1643597216,,,-2184.0,,,,,
1643597247,,,-2176.0,-10.0,-11.0,,,
1643597277,,,-2172.0,,,,,
1643597308,,,-2184.0,-10.0,-11.0,,,
1643597337,,,-2184.0,,,,,
1643597368,,,-2004.0,-9.0,-11.0,,,
1643597397,,,-1912.0,,,,,
1643597428,,,-1884.0,-8.0,-10.0,,,
1643597457,,,-1824.0,,,,,
1643597488,,,-1796.0,-8.0,-10.0,,,
1643597516,,,,,,0.0,10200.0,66.0
1643597517,,,-1788.0,,,,,
1643597548,,,-1784.0,-8.0,-10.0,,,
1643597577,,,-1520.0,,,,,
1643597608,,,-1804.0,-8.0,-10.0,,,
1643597637,,,-2204.0,,,,,
1643597668,,,-2212.0,-10.0,-12.0,,,
1643597697,,,-2216.0,,,,,
1643597728,,,-2212.0,-10.0,-12.0,,,
1643597758,,,-2208.0,,,,,
1643597788,,,-2212.0,-10.0,-12.0,,,
1643597817,,,-1904.0,,,,,
1643597848,,,-1916.0,-7.0,-12.0,,,
1643597877,,,-1912.0,,,,,
1643597908,,,-2004.0,-9.0,-12.0,,,
1643597938,,,-1924.0,,,,,
1643597969,,,-1900.0,-7.0,-11.0,,,
1643597998,,,-1884.0,,,,,
1643598000,6088.8,1098.3,,,,,,
1643598028,,,-1772.0,-7.0,-10.0,,,
1643598057,,,-1648.0,,,,,
1643598088,,,-1920.0,-9.0,-10.0,,,
1643598117,,,-1524.0,,,0.0,10200.0,66.0
1643598148,,,-1500.0,-6.0,-10.0,,,
1643598177,,,-1828.0,,,,,
1643598208,,,56.0,5.0,-3.0,,,
1643598237,,,60.0,,,,,
1643598269,,,60.0,5.0,-3.0,,,
1643598298,,,56.0,,,,,
1643598329,,,56.0,4.0,-3.0,,,
1643598358,,,60.0,,,,,
1643598388,,,60.0,3.0,-2.0,,,
1643598418,,,60.0,,,,,
1643598449,,,60.0,3.0,-2.0,,,
1643598478,,,60.0,,,,,
1643598509,,,56.0,3.0,-2.0,,,
1643598538,,,60.0,,,,,
1643598569,,,52.0,-3.0,4.0,,,
1643598598,,,-1876.0,,,,,
1643598629,,,-2200.0,-10.0,-12.0,,,
1643598658,,,-1660.0,,,,,
1643598689,,,-1592.0,-9.0,-8.0,,,
1643598718,,,-1564.0,,,0.0,10100.0,66.0
1643598749,,,-1588.0,-9.0,-8.0,,,
1643598778,,,-1460.0,,,,,
1643598809,,,60.0,4.0,-3.0,,,
1643598838,,,56.0,,,,,
1643598869,,,56.0,-3.0,5.0,,,
1643598900,,,-1532.0,,,,,
1643598929,,,-1840.0,-9.0,-10.0,,,
1643598958,,,-1836.0,,,,,
1643598989,,,-1832.0,-9.0,-10.0,,,
1643599018,,,-1492.0,,,,,
1643599049,,,-1780.0,-9.0,-9.0,,,
1643599078,,,-1488.0,,,,,
1643599109,,,60.0,3.0,-2.0,,,
1643599139,,,60.0,,,,,
1643599171,,,60.0,3.0,-2.0,,,
1643599199,,,60.0,,,,,
