timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT
1643599575,,,13.0,,
1643599605,,,17.0,-4.0,4.0
1643599634,,,27.0,,
1643599665,,,0.0,-5.0,5.0
1643599694,,,18.0,,
1643599726,,,18.0,-4.0,4.0
1643599754,,,25.0,,
1643599785,,,26.0,-4.0,4.0
1643599800,4721.9,589.6,,,
1643599814,,,22.0,,
1643599846,,,26.0,-4.0,4.0
1643599874,,,-70.0,,
1643599906,,,-297.0,-5.0,3.0
1643599934,,,-282.0,,
1643599966,,,-1141.0,-5.0,-7.0
1643599995,,,-1147.0,,
1643600026,,,-1144.0,-5.0,-7.0
1643600055,,,-1078.0,,
1643600086,,,-1017.0,-5.0,-6.0
1643600115,,,-1010.0,,
1643600146,,,-1089.0,-5.0,-6.0
1643600174,,,-1085.0,,
1643600206,,,-1078.0,-5.0,-6.0
1643600236,,,-1075.0,,
1643600266,,,-645.0,-5.0,3.0
1643600295,,,-171.0,,
1643600326,,,-179.0,-5.0,3.0
1643600355,,,-214.0,,
1643600386,,,-218.0,-5.0,3.0
1643600416,,,-209.0,,
1643600446,,,-206.0,-5.0,3.0
1643600475,,,-172.0,,
1643600507,,,-37.0,-4.0,4.0
1643600535,,,-42.0,,
1643600567,,,-96.0,-4.0,4.0
1643600595,,,-74.0,,
1643600627,,,-52.0,-4.0,4.0
1643600655,,,-37.0,,
1643600686,,,-38.0,-4.0,4.0
1643600715,,,11.0,,
1643600746,,,17.0,-4.0,4.0
1643600775,,,-14.0,,
1643600807,,,-2.0,-4.0,4.0
1643600835,,,-5.0,,
1643600867,,,4.0,-4.0,4.0
1643600895,,,9.0,,
1643600927,,,8.0,-4.0,4.0
1643600956,,,21.0,,
1643600987,,,-467.0,-4.0,-5.0
1643601016,,,-804.0,,
1643601047,,,-840.0,-4.0,-5.0
1643601076,,,-608.0,,
1643601107,,,-657.0,-4.0,-4.0
1643601135,,,-664.0,,
1643601167,,,-601.0,-4.0,-4.0
1643601196,,,-609.0,,
1643601227,,,-644.0,-4.0,-4.0
1643601256,,,-641.0,,
1643601287,,,-651.0,-4.0,-4.0
1643601317,,,-616.0,,
1643601347,,,-638.0,-4.0,-4.0
1643601376,,,-580.0,,
1643601407,,,-583.0,-4.0,-4.0
1643601436,,,-639.0,,
1643601468,,,-653.0,-4.0,-4.0
1643601496,,,-652.0,,
1643601527,,,-642.0,-4.0,-4.0
1643601556,,,-641.0,,
1643601587,,,-603.0,-4.0,-4.0
1643601600,4721.9,589.8,,,
1643601616,,,-394.0,,
1643601648,,,-621.0,-4.0,-4.0
1643601678,,,-628.0,,
1643601709,,,-632.0,-4.0,-4.0
1643601736,,,-695.0,,
1643601768,,,-934.0,-5.0,-5.0
1643601796,,,-932.0,,
1643601828,,,-838.0,-5.0,-4.0
1643601856,,,-690.0,,
1643601888,,,-624.0,-5.0,-4.0
1643601916,,,-601.0,,
1643601948,,,-583.0,-5.0,-4.0
1643601977,,,-477.0,,
1643602008,,,-370.0,-5.0,5.0
1643602037,,,-215.0,,
1643602068,,,-7.0,-5.0,7.0
1643602100,,,-187.0,,
1643602128,,,-214.0,-5.0,6.0
1643602157,,,-199.0,,
1643602188,,,-210.0,-5.0,5.0
1643602217,,,-324.0,,
1643602248,,,-206.0,-4.0,6.0
1643602277,,,-269.0,,
1643602309,,,-307.0,-4.0,4.0
1643602337,,,-362.0,,
1643602368,,,-397.0,-4.0,-4.0
1643602397,,,-405.0,,
1643602428,,,-340.0,-4.0,-4.0
1643602458,,,-245.0,,
1643602489,,,-315.0,-4.0,-4.0
1643602517,,,-295.0,,
1643602548,,,-347.0,-4.0,-4.0
1643602577,,,-340.0,,
1643602609,,,-338.0,-4.0,-4.0
1643602638,,,-342.0,,
